source_doi,catalyst_formula,dye_name,initial_dye_conc_value,initial_dye_conc_unit,catalyst_dosage_value,catalyst_dosage_unit,light_type,time_value,time_unit,efficiency_value
10.1080/03067319.2024.2415175,MicNo-ZnO,methylene blue,10,mg/L,0.25,g/L,UV,180,min,96.04
10.1155/2026/8390632,Mg-doped Ag2O,methyl orange,30.0,ppm,0.4,g,UV,150.0,min,96.1
10.1021/acsomega.3c07326,Mg-Al LDH@g-C3N430@Ag3PO45,methylene blue,10,mg L-1,0.05,g,Visible,45,min,99
10.1039/d6na00104a,5% BiVO4/UU-200,rhodamine B,15.0,mg L-1,10.0,mg,LED,120.0,min,96.79
10.1016/j.arabjc.2022.103722,Co3O4-Bi2O3,Rhodamine B,100.0,mg/L,0.05,g,Visible,120.0,min,92.0
10.1038/s41598-026-40207-0,5% ZnO/WO3,Methylene blue,5,mg/L,100,mg/L,Solar,60,min,93.8
zenodo_16640173,TiO2_SiO2,RhB,,,,,,15.0,min,5.5147058823529544
zenodo_16640173,TiO2_SiO2,RhB,,,,,,15.0,min,6.323185011709597
zenodo_16640173,TiO2_SiO2,RhB,,,,,,15.0,min,27.97619047619049
zenodo_16640173,TiO2_SiO2,RhB,,,,,,15.0,min,30.540166204986154
zenodo_16640173,TiO2_N_col,RhB,,,,,,15.0,min,41.82194616977226
zenodo_16640173,TiO2_SiO2,RhB,,,,,,30.0,min,12.132352941176471
zenodo_16640173,TiO2_SiO2,RhB,,,,,,30.0,min,55.208333333333336
zenodo_16640173,TiO2_SiO2,RhB,,,,,,30.0,min,55.95567867036011
zenodo_16640173,TiO2_N_col,RhB,,,,,,15.0,min,56.76470588235294
zenodo_16640173,TiO2_SiO2,RhB,,,,,,30.0,min,14.207650273224036
zenodo_16640173,TiO2_N_col,RhB,,,,,,30.0,min,84.33402346445824
zenodo_16640173,TiO2_N_col,RhB,,,,,,30.0,min,86.25
zenodo_16640173,TiO2_N_col,RhB,,,,,,60.0,min,87.3015873015873
zenodo_16640173,TiO2_N_col,RhB,,,,,,60.0,min,88.75
zenodo_16640173,TiO2_SiO2,RhB,,,,,,60.0,min,91.55124653739612
zenodo_16640173,TiO2_SiO2,RhB,,,,,,60.0,min,91.96428571428572
zenodo_16640173,TiO2_SiO2,RhB,,,,,,90.0,min,96.27976190476191
zenodo_16640173,TiO2_SiO2,RhB,,,,,,90.0,min,97.92243767313019
zenodo_16640173,TiO2_N_col,RhB,,,,,,90.0,min,100.0
zenodo_16640173,TiO2_N_col,RhB,,,,,,120.0,min,100.0
zenodo_16640173,TiO2_N_col,RhB,,,,,,90.0,min,100.0
zenodo_16640173,TiO2_N_col,RhB,,,,,,120.0,min,100.0
zenodo_16640173,TiO2_SiO2,RhB,,,,,,120.0,min,100.0
zenodo_16640173,TiO2_SiO2,RhB,,,,,,120.0,min,100.0
zenodo_16640173,TiO2_SiO2,RhB,,,,,,60.0,min,31.029411764705895
zenodo_16640173,TiO2_SiO2,RhB,,,,,,60.0,min,36.14363778298204
zenodo_16640173,TiO2_SiO2,RhB,,,,,,90.0,min,41.61764705882353
zenodo_16640173,TiO2_SiO2,RhB,,,,,,90.0,min,50.42935206869632
zenodo_16640173,TiO2_SiO2,RhB,,,,,,120.0,min,54.26470588235295
zenodo_16640173,TiO2_SiO2,RhB,,,,,,120.0,min,58.23575331772053
