source,catalyst_formula,pubchem_cid,initial_dye_conc_value,initial_dye_conc_unit,catalyst_dosage_value,catalyst_dosage_unit,light_type,time_value,time_unit,efficiency_value
2024.v50.i4.4030,MicNo-ZnO,6099,10.0,mg/L,0.25,g/L,UV,180.0,min,96.0
8874791,Mg-doped Ag2O,23673835,30.0,mg/L,0.4,g,UV,150.0,min,96.1
ao3c07326,Mg-Al LDH@g-C3N430@Ag3PO45,6099,10.0,mg/L,0.05,g,Visible,45.0,min,99.0
d6na00104a,5% BiVO4/UU-200,6694,15.0,mg/L,10.0,mg,LED,120.0,min,96.79
j.arabjc.2022.103732,Co3O4-Bi2O3,6694,100.0,mg/L,0.05,g,Solar,120.0,min,92.0
s41598-026-40207-0,5% ZnO/WO3,6099,5.0,mg/L,100.0,mg/L,Solar,60.0,min,93.8
zenodo_16640173,TiO2_SiO2,6694,7.0,mg/L,0.1,g/L,Visible,15.0,min,5.514705882352954
zenodo_16640173,TiO2_SiO2,6694,7.0,mg/L,0.1,g/L,UV,15.0,min,6.323185011709597
zenodo_16640173,TiO2_SiO2,6694,7.0,mg/L,0.1,g/L,Visible,15.0,min,27.97619047619049
zenodo_16640173,TiO2_SiO2,6694,7.0,mg/L,0.1,g/L,UV,15.0,min,30.540166204986157
zenodo_16640173,TiO2_N_col,6694,7.0,mg/L,0.1,g/L,Visible,15.0,min,41.82194616977226
zenodo_16640173,TiO2_SiO2,6694,7.0,mg/L,0.1,g/L,Visible,30.0,min,12.132352941176473
zenodo_16640173,TiO2_SiO2,6694,7.0,mg/L,0.1,g/L,Visible,30.0,min,55.208333333333336
zenodo_16640173,TiO2_SiO2,6694,7.0,mg/L,0.1,g/L,UV,30.0,min,55.95567867036011
zenodo_16640173,TiO2_N_col,6694,7.0,mg/L,0.1,g/L,UV,15.0,min,56.76470588235294
zenodo_16640173,TiO2_SiO2,6694,7.0,mg/L,0.1,g/L,UV,30.0,min,14.207650273224036
zenodo_16640173,TiO2_N_col,6694,7.0,mg/L,0.1,g/L,Visible,30.0,min,84.33402346445824
zenodo_16640173,TiO2_N_col,6694,7.0,mg/L,0.1,g/L,UV,30.0,min,86.25
zenodo_16640173,TiO2_N_col,6694,7.0,mg/L,0.1,g/L,Visible,60.0,min,87.3015873015873
zenodo_16640173,TiO2_N_col,6694,7.0,mg/L,0.1,g/L,UV,60.0,min,88.75
zenodo_16640173,TiO2_SiO2,6694,7.0,mg/L,0.1,g/L,UV,60.0,min,91.55124653739612
zenodo_16640173,TiO2_SiO2,6694,7.0,mg/L,0.1,g/L,Visible,60.0,min,91.96428571428572
zenodo_16640173,TiO2_SiO2,6694,7.0,mg/L,0.1,g/L,Visible,90.0,min,96.27976190476193
zenodo_16640173,TiO2_SiO2,6694,7.0,mg/L,0.1,g/L,UV,90.0,min,97.9224376731302
zenodo_16640173,TiO2_N_col,6694,7.0,mg/L,0.1,g/L,Visible,90.0,min,100.0
zenodo_16640173,TiO2_N_col,6694,7.0,mg/L,0.1,g/L,Visible,120.0,min,100.0
zenodo_16640173,TiO2_N_col,6694,7.0,mg/L,0.1,g/L,UV,90.0,min,100.0
zenodo_16640173,TiO2_N_col,6694,7.0,mg/L,0.1,g/L,UV,120.0,min,100.0
zenodo_16640173,TiO2_SiO2,6694,7.0,mg/L,0.1,g/L,UV,120.0,min,100.0
zenodo_16640173,TiO2_SiO2,6694,7.0,mg/L,0.1,g/L,Visible,120.0,min,100.0
zenodo_16640173,TiO2_SiO2,6694,7.0,mg/L,0.1,g/L,Visible,60.0,min,31.02941176470589
zenodo_16640173,TiO2_SiO2,6694,7.0,mg/L,0.1,g/L,UV,60.0,min,36.14363778298204
zenodo_16640173,TiO2_SiO2,6694,7.0,mg/L,0.1,g/L,Visible,90.0,min,41.61764705882353
zenodo_16640173,TiO2_SiO2,6694,7.0,mg/L,0.1,g/L,UV,90.0,min,50.42935206869632
zenodo_16640173,TiO2_SiO2,6694,7.0,mg/L,0.1,g/L,Visible,120.0,min,54.26470588235295
zenodo_16640173,TiO2_SiO2,6694,7.0,mg/L,0.1,g/L,UV,120.0,min,58.23575331772053
